filename,width,height,class,xmin,ymin,xmax,ymax
file-229.jpeg,275,183,-1,-1,-1,-1,-1
file-230.jpeg,275,183,-1,-1,-1,-1,-1
file-231.jpeg,1020,510,-1,-1,-1,-1,-1
file-232.jpeg,940,530,-1,-1,-1,-1,-1
file-233.jpeg,612,408,-1,-1,-1,-1,-1
file-234.jpeg,626,417,-1,-1,-1,-1,-1
file-235.jpeg,612,408,-1,-1,-1,-1,-1
file-236.jpeg,600,421,-1,-1,-1,-1,-1
file-237.jpeg,1920,1440,-1,-1,-1,-1,-1
file-238.jpeg,1300,1300,maze,410,305,887,820
file-238.jpeg,1300,1300,maze,410,305,887,820
file-239.jpeg,216,233,maze,76,43,207,172
file-239.jpeg,216,233,maze,76,43,207,172
file-24.jpeg,551,385,maze,73,35,376,323
file-24.jpeg,551,385,maze,73,35,376,323
file-240.jpeg,360,254,maze,9,60,213,226
file-240.jpeg,360,254,maze,9,60,213,226
file-241.jpeg,600,494,maze,213,52,426,274
file-241.jpeg,600,494,maze,213,52,426,274
file-242.jpeg,1298,1300,maze,429,634,874,1066
file-242.jpeg,1298,1300,maze,429,634,874,1066
file-243.jpeg,1300,852,maze,271,307,534,570
file-243.jpeg,1300,852,maze,774,82,1179,487
file-243.jpeg,1300,852,maze,774,82,1179,487
file-244.jpeg,360,254,maze,111,45,250,134
file-244.jpeg,360,254,maze,111,45,250,134
file-245.jpeg,1300,957,maze,283,301,707,629
file-245.jpeg,1300,957,maze,737,530,1037,600
file-245.jpeg,1300,957,maze,737,530,1037,600
file-246.jpeg,800,616,maze,397,199,658,388
file-246.jpeg,800,616,maze,397,199,658,388
file-247.jpeg,612,408,maze,224,37,370,185
file-247.jpeg,612,408,maze,224,37,370,185
file-30.jpeg,260,280,maze,54,57,203,213
file-30.jpeg,260,280,maze,54,57,203,213
file-34.jpeg,257,196,maze,3,3,251,180
file-34.jpeg,257,196,maze,3,3,251,180
file-41.jpeg,207,243,maze,16,16,192,226
file-41.jpeg,207,243,maze,16,16,192,226
file-42.jpeg,216,233,maze,36,39,181,181
file-42.jpeg,216,233,maze,36,39,181,181
file-44.jpeg,100,100,maze,1,1,100,100
file-44.jpeg,100,100,maze,1,1,100,100
file-45.jpeg,216,233,maze,8,18,206,195
file-45.jpeg,216,233,maze,8,18,206,195
file-47.jpeg,269,188,maze,36,18,184,158
file-47.jpeg,269,188,maze,36,18,184,158
file-48.jpeg,284,178,maze,66,39,205,138
file-48.jpeg,284,178,maze,66,39,205,138
file-49.jpeg,225,225,maze,1,1,223,225
file-49.jpeg,225,225,maze,1,1,223,225
file-50.jpeg,225,224,maze,1,2,225,223
file-50.jpeg,225,224,maze,1,2,225,223
file-51.jpeg,218,231,maze,48,57,170,177
file-51.jpeg,218,231,maze,48,57,170,177
file-57.jpeg,194,259,maze,52,36,159,206
file-57.jpeg,194,259,maze,52,36,159,206
file-58.jpeg,260,194,maze,29,22,176,157
file-58.jpeg,260,194,maze,29,22,176,157
file-59.jpeg,100,100,maze,50,63,97,99
file-59.jpeg,100,100,maze,3,66,42,97
file-59.jpeg,100,100,maze,62,31,100,60
file-59.jpeg,100,100,maze,29,37,54,55
file-59.jpeg,100,100,maze,1,38,21,55
file-59.jpeg,100,100,maze,1,38,21,55
file-60.jpeg,275,183,maze,8,4,266,180
file-60.jpeg,275,183,maze,8,4,266,180
file-61.jpeg,225,225,maze,54,53,171,170
file-61.jpeg,225,225,maze,67,171,154,187
file-61.jpeg,225,225,maze,172,68,189,155
file-61.jpeg,225,225,maze,72,36,155,53
file-61.jpeg,225,225,maze,38,64,54,152
file-61.jpeg,225,225,maze,38,64,54,152
file-62.jpeg,197,256,maze,22,72,178,251
file-62.jpeg,197,256,maze,44,33,130,71
file-62.jpeg,197,256,maze,44,33,130,71
file-64.jpeg,225,225,maze,43,51,177,184
file-64.jpeg,225,225,maze,43,51,177,184
file-65.jpeg,300,168,maze,9,1,290,167
file-65.jpeg,300,168,maze,9,1,290,167
file-66.jpeg,219,230,maze,40,14,186,159
file-66.jpeg,219,230,maze,40,14,186,159
file-67.jpeg,194,260,maze,33,156,160,225
file-67.jpeg,194,260,maze,35,36,108,155
file-67.jpeg,194,260,maze,110,137,138,155
file-67.jpeg,194,260,maze,110,137,138,155
file-71.jpeg,325,155,maze,1,1,153,153
file-71.jpeg,325,155,maze,167,1,325,154
file-71.jpeg,325,155,maze,167,1,325,154
file-73.jpeg,439,115,maze,25,14,109,100
file-73.jpeg,439,115,maze,130,16,211,96
file-73.jpeg,439,115,maze,229,18,318,97
file-73.jpeg,439,115,maze,337,17,415,96
file-73.jpeg,439,115,maze,337,17,415,96
file-75.jpeg,300,168,maze,34,17,110,93
file-75.jpeg,300,168,maze,16,98,107,164
file-75.jpeg,300,168,maze,116,6,196,58
file-75.jpeg,300,168,maze,116,6,196,58
file-76.jpeg,191,264,maze,1,2,191,264
file-76.jpeg,191,264,maze,1,2,191,264
file-80.jpeg,268,188,maze,1,1,268,188
file-80.jpeg,268,188,maze,1,1,268,188
file-82.jpeg,100,100,maze,1,5,100,93
file-82.jpeg,100,100,maze,1,5,100,93
file-83.jpeg,100,100,maze,9,5,91,86
file-83.jpeg,100,100,maze,9,5,91,86
file-90.jpeg,258,195,maze,5,2,73,126
file-90.jpeg,258,195,maze,74,5,253,64
file-90.jpeg,258,195,maze,202,67,251,101
file-90.jpeg,258,195,maze,81,163,196,190
file-90.jpeg,258,195,maze,81,163,196,190
file-92.jpeg,216,233,maze,1,1,216,216
file-92.jpeg,216,233,maze,1,1,216,216
file-95.jpeg,262,192,maze,41,57,131,134
file-95.jpeg,262,192,maze,41,57,131,134
file-96.jpeg,279,180,maze,133,38,231,126
file-96.jpeg,279,180,maze,133,38,231,126
file-98.jpeg,250,202,maze,8,8,85,52
file-98.jpeg,250,202,maze,127,13,176,41
file-98.jpeg,250,202,maze,127,159,177,187
file-98.jpeg,250,202,maze,2,159,53,187
file-98.jpeg,250,202,maze,126,79,177,109
file-98.jpeg,250,202,maze,1,80,53,109
file-98.jpeg,250,202,maze,1,80,53,109
